disease,symptom_or_condition
MLND,Yellowing
MLND,Necrosis
MLND,StuntedGrowth
Rust,RustPustules
Rust,LeafSpots
Blight,LeafSpots
Blight,DeadTissue
Smut,Blisters
Smut,MoldyKernels
DownyMildew,WhiteFungalGrowth
DownyMildew,WaterSoaking
GrayLeafSpot,GrayLesions
GrayLeafSpot,DeadTissue
Anthracnose,DeadTissue
RootRot,SoftRot
RootRot,Browning
EarRot,MoldyKernels
EarRot,EarDiscoloration
StalkRot,StemBreakage
ViralStreak,Streaks
LeafCurl,Curling
Wilt,Wilting
StripeDisease,Streaks
ChlorosisComplex,Yellowing
MosaicVirus,Yellowing
FusariumWilt,Wilting
AspergillusRot,MoldyKernels
DiplodiaEarRot,MoldyKernels
DiplodiaEarRot,EarDiscoloration
Anthracnose,Browning
